City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
62,Kruisfontein,ZA,62.65,clear sky,-34.0033,24.7314,Oyster Bay House Rental
64,Paraiso,CR,76.15,overcast clouds,9.8383,-83.8656,Hotel Rinconcito Verde
65,Mar Del Plata,AR,63.09,overcast clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
67,Rioblanco,CO,70.92,broken clouds,3.5308,-75.6806,hotel en tolima colombia
68,Arlit,NE,66.34,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
69,Flinders,AU,70.21,light rain,-34.5833,150.8552,Shellharbour Resort & Conference Centre
71,Cabo San Lucas,MX,77.61,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
73,Itumbiara,BR,75.33,broken clouds,-18.4192,-49.2153,Itumbiara Palace Hotel
74,Vao,NC,80.65,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
77,Lichtenburg,ZA,67.89,broken clouds,-26.152,26.1597,Kennzy Guest House
78,Kavieng,PG,80.29,moderate rain,-2.5744,150.7967,Nusa Island Retreat
80,Mahon,ES,46.96,few clouds,39.8885,4.2658,ARTIEM Capri
81,Lagoa,PT,59.65,overcast clouds,39.05,-27.9833,Casa Das Faias
82,Kalianget,ID,75.94,overcast clouds,-7.05,113.9333,Pesanggrahan Garam
83,San Cristobal,VE,71.78,broken clouds,7.7669,-72.225,Pirineos
84,East London,ZA,74.75,overcast clouds,-33.0153,27.9116,Tu Casa
85,Carnarvon,AU,78.87,clear sky,-24.8667,113.6333,Hospitality Carnarvon
87,Qesarya,IL,52.23,clear sky,32.5189,34.9046,Dan Caesarea Resort - Happiness Is Around
90,Wollongong,AU,73.18,overcast clouds,-34.4333,150.8833,Flinders Motel
91,Castro,BR,72.28,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
92,Esperance,AU,73.24,overcast clouds,-33.8667,121.9,Hospitality Esperance
93,Buala,SB,75.78,very heavy rain,-8.145,159.5921,Maringe Lagoon Lodge
95,Bambous Virieux,MU,75.22,few clouds,-20.3428,57.7575,Casa Tia Villa
97,North Bend,US,63.16,clear sky,43.4065,-124.2243,Red Lion Hotel Coos Bay
98,Barra Do Corda,BR,76.98,moderate rain,-5.5,-45.25,Belchior Palace Hotel
99,Noumea,NC,81.0,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
101,Lebu,CL,61.45,clear sky,-37.6167,-73.65,Hostal Las Lilas
103,Berbera,SO,75.18,scattered clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
104,Sao Filipe,CV,78.57,scattered clouds,14.8961,-24.4956,Hotel Xaguate
105,Geraldton,AU,70.21,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
106,Nouakchott,MR,78.73,broken clouds,18.0858,-15.9785,HOTEL IMAN
107,Pacific Grove,US,82.62,clear sky,36.6177,-121.9166,Lovers Point Inn
108,Puri,IN,64.92,broken clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
110,Potiskum,NG,67.21,clear sky,11.7091,11.0694,Tamir Hotel Ltd
112,Upata,VE,81.19,scattered clouds,8.0086,-62.3989,Posada Villa Nela
113,Yenagoa,NG,82.0,scattered clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
114,Ribeira Grande,PT,59.4,few clouds,38.5167,-28.7,Quinta da Meia Eira
117,Hervey Bay,AU,73.04,few clouds,-25.2986,152.8535,Shelly Bay Resort
118,Itoman,JP,66.58,scattered clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
119,Palmer,US,53.65,broken clouds,42.1584,-72.3287,Wedgewood Motel
120,Saint-Philippe,RE,76.59,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
123,Fortuna,US,73.92,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
124,Avarua,CK,82.45,broken clouds,-21.2078,-159.775,Paradise Inn
125,Vaini,TO,84.36,scattered clouds,-21.2,-175.2,Keleti Beach Resort
127,Hobart,AU,56.26,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
128,Alice Springs,AU,60.35,clear sky,-23.7,133.8833,Desert Palms Alice Springs
130,Enterprise,US,76.77,clear sky,36.0252,-115.2419,Las Vegas Motorcoach Resort
131,Peniche,PT,61.61,overcast clouds,39.3558,-9.3811,Hotel Star inn Peniche
133,Kulhudhuffushi,MV,81.36,overcast clouds,6.6221,73.07,Haajy Guest House 1
134,Farafangana,MG,76.55,few clouds,-22.8167,47.8333,Miarina
135,Sao Joao Da Barra,BR,77.09,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
136,Meulaboh,ID,74.84,overcast clouds,4.1363,96.1285,Kost Pria
138,Segou,ML,76.44,few clouds,13.4317,-6.2157,Comme chez soi
139,Denpasar,ID,78.46,moderate rain,-8.65,115.2167,OYO 3156 Hotel Warta 2
140,Mabaruma,GY,80.02,scattered clouds,8.2,-59.7833,Monty Brooms Guest House
141,Riyadh,SA,60.94,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
145,Lamar,US,73.56,clear sky,33.6668,-95.5836,Kings Inn Paris TX
147,Oriximina,BR,81.91,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
148,Jasper,US,56.53,overcast clouds,37.2001,-94.3502,Guest House Motel
149,Rrogozhine,AL,41.18,broken clouds,41.0764,19.6653,HOTEL - MOTEL B&B
