City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
134,Farafangana,MG,-22.8167,47.8333,76.55,85,20,4.43,few clouds
135,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.09,88,100,9.89,overcast clouds
136,Meulaboh,ID,4.1363,96.1285,74.84,85,100,6.2,overcast clouds
137,Tubuala,PA,9.5167,-79.0333,91.56,71,37,14.03,scattered clouds
138,Segou,ML,13.4317,-6.2157,76.44,12,14,9.17,few clouds
139,Denpasar,ID,-8.65,115.2167,78.46,94,40,2.3,moderate rain
140,Mabaruma,GY,8.2,-59.7833,80.02,61,26,6.31,scattered clouds
141,Riyadh,SA,24.6877,46.7219,60.94,41,0,10.71,clear sky
142,Nikolskoye,RU,59.7035,30.7861,28.29,92,40,7.94,scattered clouds
143,La Ronge,CA,55.1001,-105.2842,-7.17,87,94,2.86,overcast clouds
144,Nalut,LY,30.3333,10.85,51.67,42,32,8.16,scattered clouds
145,Lamar,US,33.6668,-95.5836,73.56,25,0,17.27,clear sky
146,Deputatskiy,RU,69.3,139.9,-17.45,96,97,5.64,overcast clouds
147,Oriximina,BR,-1.7656,-55.8661,81.91,84,92,2.19,overcast clouds
148,Jasper,US,37.2001,-94.3502,56.53,57,100,13.8,overcast clouds
149,Rrogozhine,AL,41.0764,19.6653,41.18,77,61,2.1,broken clouds
150,Okhotsk,RU,59.3833,143.3,-12.37,85,66,8.34,broken clouds
151,Alberton,CA,46.8168,-64.0654,30.45,95,26,7.76,scattered clouds
152,Hermanus,ZA,-34.4187,19.2345,65.89,88,0,6.22,clear sky
153,Victoria,HK,22.2855,114.1577,65.95,88,36,4.0,scattered clouds
154,Saint George,US,37.1041,-113.5841,72.07,22,0,5.01,clear sky
155,Kaitangata,NZ,-46.2817,169.8464,60.93,72,91,7.05,overcast clouds
156,Corinto,GR,37.9407,22.9573,52.68,79,3,2.21,clear sky
157,Tarakan,ID,3.3,117.6333,77.32,83,100,1.48,overcast clouds
158,Thompson,CA,55.7435,-97.8558,-9.56,75,6,9.17,clear sky
159,Constitucion,CL,-35.3333,-72.4167,69.67,48,0,15.59,clear sky
160,Yulara,AU,-25.2406,130.9889,67.84,45,0,6.91,clear sky
161,Tautira,PF,-17.7333,-149.15,84.22,72,70,16.37,broken clouds
162,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,103.6,15,19,3.96,light rain
163,Te Anau,NZ,-45.4167,167.7167,58.26,73,99,3.27,overcast clouds
164,Puerto Ayora,EC,-0.7393,-90.3518,80.56,89,92,3.0,overcast clouds
165,Poli,TZ,-3.3333,36.8,63.27,80,100,3.58,light rain
166,Soderhamn,SE,61.3037,17.0592,26.98,52,88,14.56,overcast clouds
167,Camacha,PT,33.0833,-16.3333,61.56,88,40,11.5,scattered clouds
168,Stephenville,US,32.2207,-98.2023,77.34,26,0,11.5,clear sky
169,Tuatapere,NZ,-46.1333,167.6833,56.82,67,35,7.05,scattered clouds
170,Souillac,MU,-20.5167,57.5167,75.36,82,7,3.06,clear sky
171,Hirara,JP,24.8,125.2833,69.15,75,100,17.43,overcast clouds
172,Yerbogachen,RU,61.2767,108.0108,-8.88,99,100,3.2,light snow
173,Berezovyy,RU,51.6667,135.7,7.39,97,100,2.71,overcast clouds
174,Norman Wells,CA,65.282,-126.8329,-5.48,92,66,1.14,broken clouds
175,Roma,US,43.2128,-75.4557,49.86,48,100,10.36,overcast clouds
176,Mawlaik,MM,23.6333,94.4167,55.22,67,1,1.97,clear sky
177,Tiznit,MA,29.5833,-9.5,55.51,65,2,2.73,clear sky
178,Luohe,CN,33.5717,114.0353,35.11,91,13,1.57,few clouds
179,Ola,RU,59.5833,151.2833,-6.84,84,97,5.82,overcast clouds
180,Luwuk,ID,-0.9516,122.7875,76.78,86,100,1.48,overcast clouds
181,San Quintin,MX,30.4833,-115.95,72.63,25,0,8.23,clear sky
182,Pevek,RU,69.7008,170.3133,-29.42,100,98,6.69,overcast clouds
183,Stornoway,GB,58.2093,-6.3865,42.76,88,100,34.52,light rain
184,Jamestown,US,42.097,-79.2353,48.29,29,100,24.16,overcast clouds
185,Arraial Do Cabo,BR,-22.9661,-42.0278,75.06,88,75,3.44,broken clouds
186,Cidreira,BR,-30.1811,-50.2056,76.33,79,0,19.62,clear sky
187,Daru,PG,-9.0763,143.2092,77.99,77,99,4.38,overcast clouds
188,Tanda,IN,26.55,82.65,49.41,68,0,7.52,clear sky
189,Diego De Almagro,CL,-26.3667,-70.05,77.61,26,0,14.58,clear sky
190,Kafanchan,NG,9.5833,8.3,71.2,14,25,6.73,scattered clouds
191,Nouadhibou,MR,20.931,-17.0347,71.91,50,93,13.65,overcast clouds
192,Todos Santos,MX,23.45,-110.2167,77.11,61,0,8.39,clear sky
193,Clyde River,CA,70.4692,-68.5914,-16.37,76,100,33.38,heavy snow
194,Yabelo,ET,4.8833,38.0833,70.88,29,96,4.83,overcast clouds
195,Khatanga,RU,71.9667,102.5,0.75,80,65,15.19,broken clouds
196,Vostok,RU,46.4856,135.8833,14.22,97,100,2.86,light snow
197,Salalah,OM,17.0151,54.0924,73.49,64,20,3.44,few clouds
198,Huarmey,PE,-10.0681,-78.1522,75.15,72,60,10.89,broken clouds
199,Nazareno,MX,25.3833,-103.4167,70.11,16,0,0.38,clear sky
200,Dikson,RU,73.5069,80.5464,1.44,82,100,28.83,overcast clouds
201,Cristalina,BR,-16.7686,-47.6136,67.41,89,85,3.87,light rain
202,Muncar,ID,-8.4333,114.3333,75.78,91,100,4.9,overcast clouds
203,Raudeberg,NO,61.9875,5.1352,38.19,94,100,5.99,overcast clouds
204,Lompoc,US,34.6391,-120.4579,86.13,24,0,5.75,clear sky
205,Margate,GB,51.3813,1.3862,42.31,77,97,1.01,overcast clouds
206,Saint-Augustin,CA,51.226,-58.6502,21.78,72,37,16.62,scattered clouds
207,Aswan,EG,24.0934,32.907,56.37,39,0,9.82,clear sky
208,Harper,LR,4.375,-7.7169,79.57,82,52,9.6,broken clouds
209,Nicoya,CR,10.1483,-85.452,87.35,49,96,8.12,overcast clouds
210,Zyryanka,RU,65.75,150.85,-38.13,99,65,5.82,broken clouds
211,Hurricane,US,37.1753,-113.2899,70.59,20,28,8.93,scattered clouds
212,Ostersund,SE,63.1792,14.6357,25.25,74,100,9.22,overcast clouds
213,Yellowknife,CA,62.456,-114.3525,-5.58,84,100,3.0,overcast clouds
214,Dingle,PH,10.9995,122.6711,74.59,92,100,6.8,overcast clouds
215,Ayan,RU,56.45,138.1667,7.02,83,100,5.73,overcast clouds
216,Eureka,US,40.8021,-124.1637,74.19,57,0,5.01,clear sky
217,Natal,BR,-5.795,-35.2094,84.85,74,40,12.66,scattered clouds
218,Taltal,CL,-25.4,-70.4833,70.99,67,18,6.87,few clouds
219,Tyukhtet,RU,56.5389,89.3011,-12.51,96,5,5.84,clear sky
220,Leningradskiy,RU,69.3833,178.4167,-19.98,97,98,4.7,overcast clouds
221,Dhupgari,IN,26.5858,89.0145,61.86,64,100,1.14,overcast clouds
222,Kiama,AU,-34.6833,150.8667,70.0,93,100,3.0,light rain
223,Komsomolskiy,UZ,40.4272,71.7189,40.42,64,100,2.3,overcast clouds
224,Mamou,GN,10.5,-12.0,73.96,15,2,3.65,clear sky
225,Georgetown,MY,5.4112,100.3354,78.73,85,20,3.44,few clouds
226,Palmas Bellas,PA,9.2319,-80.0867,87.71,66,10,13.29,clear sky
227,Isangel,VU,-19.55,169.2667,84.31,79,75,3.44,broken clouds
228,Tiksi,RU,71.6872,128.8694,-10.57,92,99,16.33,overcast clouds
229,Severo-Kurilsk,RU,50.6789,156.125,24.37,90,100,5.95,light snow
230,Izumrud,RU,57.0788,61.3993,8.6,95,100,7.05,light snow
231,Mezen,RU,65.8522,44.24,17.73,97,99,5.86,overcast clouds
232,Porto Novo,BJ,6.4965,2.6036,79.92,81,7,8.55,clear sky
233,Kahului,US,20.8947,-156.47,78.84,62,40,8.05,scattered clouds
234,Igrim,RU,63.1906,64.4162,3.29,87,100,12.15,overcast clouds
235,Araouane,ML,18.9048,-3.5265,65.77,16,44,10.22,scattered clouds
236,Xichang,CN,27.8964,102.2634,39.22,88,3,1.21,clear sky
237,Ardesen,TR,41.1911,40.9875,40.96,62,0,4.79,clear sky
238,Baijiantan,CN,45.6333,85.1833,5.97,95,87,2.3,overcast clouds
239,Zhoucheng,CN,35.9122,116.3117,36.09,63,21,4.56,few clouds
240,Ati,TD,13.2154,18.3353,71.06,13,1,10.63,clear sky
241,Trincomalee,LK,8.5711,81.2335,78.66,84,100,10.92,overcast clouds
242,Belmonte,BR,-15.8631,-38.8828,81.1,77,11,6.6,few clouds
